rank,title,author,ratings,reviews,reads
1,Where The Crawdads Sing,Delia Owens,4.48,783960,38943
2,"The Ballad Of Songbirds And Snakes (The Hunger Games, #0)",Suzanne Collins,3.91,59917,36867
3,Normal People,Sally Rooney,3.87,299196,36847
4,Little Fires Everywhere,Celeste Ng,4.10,613328,29086
5,The Silent Patient,Alex Michaelides,4.09,387115,27879
6,"Harry Potter And The Sorcerer'S Stone (Harry Potter, #1)",J.K. Rowling,4.47,6759615,23778
7,Educated,Tara Westover,4.47,684139,20911
8,American Dirt,Jeanine Cummins,4.31,91757,19085
9,"Harry Potter And The Chamber Of Secrets (Harry Potter, #2)",J.K. Rowling,4.42,2617932,18664
10,Untamed,Glennon Doyle,4.27,45969,17879
11,"Harry Potter And The Prisoner Of Azkaban (Harry Potter, #3)",J.K. Rowling,4.57,2682359,16953
12,"Harry Potter And The Goblet Of Fire (Harry Potter, #4)",J.K. Rowling,4.56,2491452,15803
13,Such A Fun Age,Kiley Reid,3.82,98141,15380
14,Becoming,Michelle Obama,4.55,475528,14925
15,The Dutch House,Ann Patchett,4.16,144491,14795
16,Eleanor Oliphant Is Completely Fine,Gail Honeyman,4.29,635733,14561
17,"Harry Potter And The Order Of The Phoenix (Harry Potter, #5)",J.K. Rowling,4.50,2413214,14088
18,The Giver Of Stars,Jojo Moyes,4.30,123166,13503
19,Daisy Jones & The Six,Taylor Jenkins Reid,4.21,220489,12901
20,"Harry Potter And The Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,4.57,2348417,12762
21,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,4.33,6190264,12252
22,"Harry Potter And The Deathly Hallows (Harry Potter, #7)",J.K. Rowling,4.62,2710024,12072
23,Circe,Madeline Miller,4.27,285049,11644
24,The Handmaid'S Tale,Margaret Atwood,4.11,1387746,11447
25,When We Believed In Mermaids,Barbara O'Neal,4.22,68619,11422
26,Big Summer,Jennifer Weiner,3.75,14879,11180
27,"Red, White & Royal Blue",Casey McQuiston,4.26,122054,11154
28,In Five Years,Rebecca Serle,3.90,44596,11053
29,"The Tattooist Of Auschwitz (The Tattooist Of Auschwitz, #1)",Heather   Morris,4.26,398655,10869
30,White Fragility: Why It’S So Hard For White People To Talk About Racism,Robin DiAngelo,4.52,35583,10783
31,My Dark Vanessa,Kate Elizabeth Russell,4.09,37053,10728
32,Camino Winds (Camino Island #2),John Grisham,3.92,13197,10667
33,1984,George Orwell,4.18,2995695,10447
34,"Catching Fire (The Hunger Games, #2)",Suzanne Collins,4.29,2414764,9837
35,The Woman In The Window,A.J. Finn,3.94,402231,9661
36,The Seven Husbands Of Evelyn Hugo,Taylor Jenkins Reid,4.34,176306,9642
37,The Testaments,Margaret Atwood,4.21,174327,9226
38,Sapiens: A Brief History Of Humankind,Yuval Noah Harari,4.43,434314,9142
39,"Mockingjay (The Hunger Games, #3)",Suzanne Collins,4.04,2265191,8925
40,The Glass Hotel,Emily St. John Mandel,3.81,23905,8763
41,"The Lightning Thief (Percy Jackson And The Olympians, #1)",Rick Riordan,4.25,1907639,8610
42,The Flatshare,Beth O'Leary,4.13,77647,8598
43,City Of Girls,Elizabeth Gilbert,4.05,122009,8464
44,Verity,Colleen Hoover,4.34,122616,8365
45,The Guest List,Lucy Foley,3.98,25778,8354
46,"Girl, Woman, Other",Bernardine Evaristo,4.44,39254,8316
47,The Nightingale,Kristin Hannah,4.58,646597,8238
