title,author,ratings,reviews
"A Long Finish (Aurelio Zen, #6)",Michael Dibdin,3.78,1043
"Blood Rain (Aurelio Zen, #7)",Michael Dibdin,3.75,1024
"Sizilianisches Finale (Aurelio Zen, #7)",Michael Dibdin,3.75,1024
"New Television, Globalisation, and the East Asian Cultural Imagination",Anthony Y. H. Fung,4.0,1
Medieval Machine: The Industrial Revolution of the Middle Ages,Jean Gimpel,3.89,222
Medieval Identity Machines,Jeffrey Jerome Cohen,4.13,15
"Dead Lagoon (Aurelio Zen, #4)",Michael Dibdin,3.89,1891
"And Then You Die (Aurelio Zen, #8)",Michael Dibdin,3.74,907
Ethics and the Built Environment,Warwick Fox,4.33,3
"A Theory of General Ethics: Human Relationships, Nature, and the Built Environment",Warwick Fox,4.0,1
The Curious Incident of the Dog in the Night-Time,Mark Haddon,3.88,1155511
Why Men and Women Act the Way They Do,Bill Farrel,3.58,12
"Who Are You?: Why You Look, Feel, and ACT the Way You Do",Sylvia Funston,2.0,1
The Wars of the Roses: The Soldiers' Experience,Anthony Goodman,3.67,12
"The Day The Music Died (Sam McCain, Book 1)",Ed Gorman,3.5700000000000003,294
Field Guide to Pattern Glass,Mollie Helen McCain,3.0,1
Swimming: Steps to Success,David G.  Thomas,3.41,27
American Beliefs: What Keeps a Big Country and a Diverse People United,John McElroy,3.86,7
The Masters of Luxor,Anthony Coburn,3.65,26
Sasha Cohen,Anne E. Hill,4.29,7
Paint Finishes (Do it Yourself),Sasha Cohen,0.0,0
The Painted Wall,Sasha Cohen,3.5,4
The Energy Efficient Home: A Complete Guide,Patrick Waterfield,4.0,3
"Adam Smith's Moral Philosophy: A Historical and Contemporary Perspective on Markets, Law, Ethics, and Culture",Jerry Evensky,4.0,7
The Knight,Alan  Baker,3.07,42
"Architecture, Power, and National Identity",Lawrence J. Vale,3.88,17
"Facility Siting: Risk, Power and Identity in Land Use Planning",Asa Boholm,0.0,0
"Making European Space: Mobility, Power and Territorial Identity",Ole B. Jensen,4.5,2
Michelle Kwan,Rachel A. Koestler-Grack,4.0,3
Michelle Kwan: Quest for Gold,Mark Stewart,0.0,0
"Michelle Kwan, Star Figure Skater",Barry Wilner,4.75,4
A Knight and His Armor,Ewart Oakeshott,4.06,48
Mars,Marc Hempel,3.33,18
"Mr. Impossible (Carsington Brothers, #2)",Loretta Chase,3.97,6217
The Clone Conspiracy,Allan Gross,0.0,0
Is Art,Allan Gross,4.5,2
Gregory III,Marc Hempel,3.97,31
Shadowplay: The Hidden Beliefs and Coded Politics of William Shakespeare,Clare Asquith,3.94,193
The Collector's Guide to New Toy Soldiers: Metal Figures from 1973 to the Present Day,Stuart Asquith,0.0,0
Medieval Military Technology,Kelly DeVries,3.94,48
The Asquiths,Colin Clifford,3.81,21
"The British Liberal Tradition: From Gladstone Through to Young Churchill, Asquith, and Lloyd George - Is Blair Their Heir?",Roy  Jenkins,3.5,2
Vernacular Architecture in the 21st Century,Lindsay Asquith,4.5,2
George Wallace: American Populist,Stephan Lesher,3.91,43
George Wallace: Conservative Populist,Lloyd Rohler,4.0,1
Lake Fly Fishing Guide: MT Hood Lakes,Jim Bradbury,5.0,1
Shakespeare and His Theatre,Jim Bradbury,0.0,0
Stephen and Matilda,Jim Bradbury,3.72,107
"Philip Augustus: King of France, 1180-1223",Jim Bradbury,3.88,24
Qur'an: Selected Commentaries: The Qur'an as Explained by the Qur'an: A New Reading of the Holy Qur'an in Modern English,Muhammad M. Al-Akili,0.0,0
How to Survive in the USA: English for Travelers and Newcomers,Nancy Church,0.0,0
"English Travelers Abroad, 1604-1667: Their Influence on English Society and Politics, Revised Edition",John Stoye,3.0,1
Mornings in Florence: Being Simple Studies of Christian Art for English Travellers,John Ruskin,3.71,68
Southwards to Geneva: 200 Years of English Travellers,Mavis Coulson,0.0,0
The English Traveller in Ireland: Accounts of Ireland and the Irish Through Five Centuries,John P. Harrington,3.0,1
Tastes of Anglo-Saxon England,Mary Savelli,4.06,17
"Infantry Warfare in the Early Fourteenth Century: Discipline, Tactics, and Technology",Kelly DeVries,3.83,23
Baghead,Jarrett J. Krosoczka,3.78,343
Fund Your Future: Winning Strategies for Managing Your Mutual Funds and 401(K),Julie Stav,4.0,16
Winning in the Futures Market,George Angell,3.27,11
New Facts on Futures: Insights and Strategies for Winning in the Futures Markets,Jake Bernstein,0.0,0
The Science and Secrets of Winning in Futures,Henry Clasing,0.0,0
Mustn't Grumble: In Search of England and the English,Joe   Bennett,3.21,131
It's Easy to Bluff Blues Guitar,Joe  Bennett,3.86,14
It's Easy to Bluff ... Playing Guitar,Joe  Bennett,2.0,1
Crash Course on Guitar Arpeggios: The Essential Guide for All Guitarists,Joe  Bennett,0.0,0
Photography: A Concise History,Ian Jeffry,3.54,35
"Pictorial Record, The War Against Germany and Italy, Mediterranean and Adjacent Areas (United States Army in World War II)",Center of Military History,4.67,6
Masterworks of Man & Nature: Preserving Our World Heritage,Mark Swadling,3.5,4
Egyptian Sudanese American: New Poems by Kola Boof,Kola Boof,0.0,0
The Life and Times of Victoria Architect P. Leonard James,Rosemary James Cross,4.0,1
American Memory in Henry James: Void and Value,William Righter,0.0,0
The Flight of Red Bird: The Life of Zitkala-Sa,Doreen Rappaport,3.62,29
The Journey of Meng,Doreen Rappaport,3.95,19
The Anti-Capitalism Reader: Imagining a Geography of Opposition,Joel Schalit,4.0,14
Grover's Book of Cute Little Words,Michaela Muntean,3.69,13
"Graduate Mathematical Physics, with Mathematica Supplements",James J. Kelly,2.0,1
Return to Reason: A Critique of Enlightenment Evidentialism and a Defense of Reason and Belief in God,Kelly James Clark,4.11,66
"American Band: Music, Dreams, and Coming of Age in the Heartland",Kristen Laine,3.88,147
New Mexico and Arizona State Parks: A Complete Recreation Guide,Don Laine,4.57,7
Against All Gods: Six Polemics on Religion and an Essay on Kindness,A.C. Grayling,3.96,319
Rodin and Michelangelo: A Study in Artistic Inspiration,Flavio Fergonzi,4.8,5
The Immensity of the Here and Now,Paul West,4.2,10
Philadelphia Museum of Art: Handbook of the Collections,Philadelphia Museum of Art,4.07,27
Museums of Philadelphia: A Guide for Residents and Visitors,Laura C. Waldron,4.25,4
Italian Paintings 1250-1450: In the John G. Johnson Collection and the Philadelphia Museum of Art,Philadelphia Museum of Art,4.5,2
British Painting in the Philadelphia Museum of Art,Richard Dorment,4.0,1
Paintings from Europe and the Americas in the Philadelphia Museum of Art: A Concise Catalogue,University of Pennsylvania Pre,0.0,0
Masters of Seventeenth-Century Dutch Genre Painting,Peter C. Sutton,5.0,1
Northern European Paintings in the Philadelphia Museum of Art: From the Sixteenth Through the Nineteenth Century,Peter C. Sutton,0.0,0
Gifts in Honor of the 125th Anniversary of the Philadelphia Museum of Art,Kay D. Oana,0.0,0
The Fine Art of Textiles: Philadelphia Museum of Art,Dilys Blum,4.25,4
"The Needs of the Dying: A Guide for Bringing Hope, Comfort, and Love to Life's Final Chapter",David Kessler,4.26,200
Tarnished Heroes,David  Kessler,3.4,10
The Doctor's Complete Guide to Healing Herbs,David A. Kessler,3.8,5
Right Reason,William F. Buckley Jr.,3.88,42
The Clever Woman of the Family,Charlotte Mary Yonge,3.44,96
"Brandywine River Museum: Catalogue of the Collection, 1969-1989",James Duff,4.0,1
Wyland: 25 Years at Sea,John Yow,4.45,11
Star Wars Technical Journal,Shane Johnson,3.98,191
English Language Arts and Reading on the Internet,Jim Greenlaw,0.0,0
Star Wars: From Concept to Screen to Collectible,Stephen J. Sansweet,3.99,88
